period,total_smells_found_sum,total_smells_found_mean,smell_density_mean,smells_introduced_sum,smells_removed_sum,project_cyclomatic_complexity_last,project_cyclomatic_complexity_mean,commit_cyclomatic_complexity_mean,files_changed_sum,files_changed_mean,LOC_added_sum,LOC_deleted_sum,is_bug_fix_sum,bug_fixing_sum,total_commits,complexity_delta,complexity_growth_rate,change_intensity,loc_churn,bugfix_commits,bugfix_ratio,smell_introduction_rate,smell_removal_rate,net_smell_change,period_num
2009Q3,20,0.7142857142857143,0.0010913654600542533,0,0,765.0,756.3571428571429,102.14285714285714,118,4.214285714285714,8220,286,2,2,28,,,4.214285714285714,303.7857142857143,4,0.14285714285714285,0.0,0.0,0,0
2009Q4,0,0.0,0.0,0,0,772.0,772.0,7.0,2,1.0,300,0,0,0,2,7.0,0.009150326797385621,1.0,150.0,0,0.0,0.0,0.0,0,1
2010Q1,40,0.23809523809523808,0.0003967084607539866,0,0,1575.0,1488.857142857143,104.76190476190476,758,4.511904761904762,35804,19044,8,8,168,803.0,1.0401554404145077,4.511904761904762,326.4761904761905,16,0.09523809523809523,0.0,0.0,0,2
2010Q2,0,0.0,0.0,0,0,1610.0,1590.72,44.92,110,2.2,10018,4146,6,6,50,35.0,0.022222222222222223,2.2,283.28,12,0.24,0.0,0.0,0,3
2010Q3,0,0.0,0.0,0,0,1805.0,1735.9431818181818,94.23863636363636,428,2.4318181818181817,15896,8340,34,34,176,195.0,0.12111801242236025,2.4318181818181817,137.70454545454547,68,0.38636363636363635,0.0,0.0,0,4
2010Q4,0,0.0,0.0,0,0,2060.0,1830.2,77.85454545454546,80,1.4545454545454546,8069,5558,11,11,55,255.0,0.14127423822714683,1.4545454545454546,247.76363636363635,22,0.4,0.0,0.0,0,5
2011Q1,26,0.25742574257425743,0.0003249794933388121,0,0,2467.0,2369.4752475247524,82.68316831683168,323,3.198019801980198,109483,9457,10,10,101,407.0,0.1975728155339806,3.198019801980198,1177.6237623762377,20,0.19801980198019803,0.0,0.0,0,6
2011Q2,26,0.41935483870967744,0.00047474926241361515,0,0,3744.0,2839.3870967741937,136.17741935483872,251,4.048387096774194,4425,3414,11,11,62,1277.0,0.5176327523307661,4.048387096774194,126.43548387096774,22,0.3548387096774194,0.0,0.0,0,7
2011Q3,14,0.32558139534883723,0.0004047779725593867,0,0,3984.0,3893.813953488372,136.1627906976744,110,2.558139534883721,2566,1070,7,7,43,240.0,0.0641025641025641,2.558139534883721,84.55813953488372,14,0.32558139534883723,0.0,0.0,0,8
2011Q4,12,0.36363636363636365,0.000526888678607041,0,0,3821.0,3901.878787878788,83.48484848484848,56,1.696969696969697,7509,5388,10,10,33,-163.0,-0.0409136546184739,1.696969696969697,390.8181818181818,20,0.6060606060606061,0.0,0.0,0,9
