period,total_smells_found_sum,total_smells_found_mean,smell_density_mean,smells_introduced_sum,smells_removed_sum,project_cyclomatic_complexity_last,project_cyclomatic_complexity_mean,commit_cyclomatic_complexity_mean,files_changed_sum,files_changed_mean,LOC_added_sum,LOC_deleted_sum,is_bug_fix_sum,bug_fixing_sum,total_commits,complexity_delta,complexity_growth_rate,change_intensity,loc_churn,bugfix_commits,bugfix_ratio,smell_introduction_rate,smell_removal_rate,net_smell_change,period_num
2009Q3,20,0.7142857142857143,0.00023137975207803582,1,0,765.0,756.3571428571429,102.14285714285714,118,4.214285714285714,8220,286,2,2,28,,,4.214285714285714,303.7857142857143,4,0.14285714285714285,0.03571428571428571,0.0,1,0
2009Q4,0,0.0,0.0,0,0,772.0,772.0,7.0,2,1.0,300,0,0,0,2,7.0,0.009150326797385621,1.0,150.0,0,0.0,0.0,0.0,0,1
2010Q1,40,0.23255813953488372,6.739511956572e-05,2,2,503.0,729.1744186046511,104.29069767441861,764,4.441860465116279,60560,44394,8,8,172,-269.0,-0.3484455958549223,4.441860465116279,610.1976744186046,16,0.09302325581395349,0.011627906976744186,0.011627906976744186,0,2
2010Q2,0,0.0,0.0,0,0,538.0,518.72,44.92,110,2.2,10018,4146,6,6,50,35.0,0.06958250497017893,2.2,283.28,12,0.24,0.0,0.0,0,3
2010Q3,0,0.0,0.0,0,0,733.0,663.9431818181819,94.23863636363636,428,2.4318181818181817,15896,8340,34,34,176,195.0,0.362453531598513,2.4318181818181817,137.70454545454547,68,0.38636363636363635,0.0,0.0,0,4
2010Q4,0,0.0,0.0,0,0,745.0,754.6190476190476,92.47619047619048,62,1.4761904761904763,6918,5468,10,10,42,12.0,0.01637107776261937,1.4761904761904763,294.9047619047619,20,0.47619047619047616,0.0,0.0,0,5
2011Q1,40,0.28776978417266186,5.90849359182416e-05,1,0,1024.0,929.4964028776978,125.32374100719424,670,4.820143884892087,154315,18328,17,17,139,279.0,0.374496644295302,4.820143884892087,1242.0359712230215,34,0.2446043165467626,0.007194244604316547,0.0,1,6
2011Q2,42,0.6086956521739131,0.00010579908998985309,1,0,1118.0,1072.2463768115942,190.1159420289855,421,6.101449275362318,86116,82833,12,12,69,94.0,0.091796875,6.101449275362318,2448.536231884058,24,0.34782608695652173,0.014492753623188406,0.0,1,7
2011Q3,20,0.4444444444444444,6.874813057016605e-05,0,0,1358.0,1238.6444444444444,150.13333333333333,131,2.911111111111111,2923,1390,7,7,45,240.0,0.2146690518783542,2.911111111111111,95.84444444444445,14,0.3111111111111111,0.0,0.0,0,8
2011Q4,22,0.55,8.128752515839912e-05,0,0,1196.0,1264.375,143.6,141,3.525,15598,10120,11,11,40,-162.0,-0.11929307805596466,3.525,642.95,22,0.55,0.0,0.0,0,9
2012Q1,114,2.590909090909091,0.0003754337091870955,3,0,1356.0,1307.5,135.47727272727272,108,2.4545454545454546,7488,1408,4,5,44,160.0,0.13377926421404682,2.4545454545454546,202.1818181818182,9,0.20454545454545456,0.06818181818181818,0.0,3,10
2012Q2,8,0.7272727272727273,0.00010215939419479242,0,0,1366.0,1360.5454545454545,133.72727272727272,38,3.4545454545454546,3225,875,2,2,11,10.0,0.007374631268436578,3.4545454545454546,372.72727272727275,4,0.36363636363636365,0.0,0.0,0,11
2012Q3,18,0.32727272727272727,4.6262330013761325e-05,0,0,1407.0,1383.6727272727273,88.56363636363636,159,2.890909090909091,5837,3682,5,5,55,41.0,0.030014641288433383,2.890909090909091,173.07272727272726,10,0.18181818181818182,0.0,0.0,0,12
2012Q4,14,0.7368421052631579,9.542668676071266e-05,0,0,1425.0,1418.8947368421052,152.6315789473684,37,1.9473684210526316,129,53,2,2,19,18.0,0.01279317697228145,1.9473684210526316,9.578947368421053,4,0.21052631578947367,0.0,0.0,0,13
2013Q1,14,0.8235294117647058,0.00010616223528012723,1,0,1431.0,1429.6470588235295,161.11764705882354,36,2.1176470588235294,13292,7910,4,4,17,6.0,0.004210526315789474,2.1176470588235294,1247.1764705882354,8,0.47058823529411764,0.058823529411764705,0.0,1,14
2013Q2,2,0.2222222222222222,2.8457193267028072e-05,0,0,1439.0,1435.5555555555557,119.44444444444444,15,1.6666666666666667,6878,19334,2,2,9,8.0,0.005590496156533892,1.6666666666666667,2912.4444444444443,4,0.4444444444444444,0.0,0.0,0,15
2013Q3,11,0.3333333333333333,4.0610959239141154e-05,0,0,1553.0,1523.121212121212,128.75757575757575,70,2.121212121212121,4712,19955,4,4,33,114.0,0.07922168172341904,2.121212121212121,747.4848484848485,8,0.24242424242424243,0.0,0.0,0,16
2013Q4,34,0.5573770491803278,6.4419415989219e-05,0,0,1668.0,1609.0655737704917,138.01639344262296,121,1.9836065573770492,3392,1433,8,8,61,115.0,0.07405022537025113,1.9836065573770492,79.09836065573771,16,0.26229508196721313,0.0,0.0,0,17
2014Q1,204,2.0,0.00021645387856300015,5,0,1873.0,1759.862745098039,230.05882352941177,454,4.450980392156863,5864,1888,25,25,102,205.0,0.12290167865707434,4.450980392156863,76.0,50,0.49019607843137253,0.049019607843137254,0.0,5,18
2014Q2,158,1.5643564356435644,0.00016054354303890459,0,0,1910.0,1893.881188118812,209.04950495049505,377,3.732673267326733,10802,3947,34,34,101,37.0,0.019754404698344902,3.732673267326733,146.02970297029702,68,0.6732673267326733,0.0,0.0,0,19
2014Q3,124,1.0598290598290598,0.0001042790487159967,0,0,2114.0,1977.068376068376,194.73504273504273,352,3.0085470085470085,86191,6924,30,30,117,204.0,0.1068062827225131,3.0085470085470085,795.8547008547008,60,0.5128205128205128,0.0,0.0,0,20
2014Q4,94,1.2207792207792207,0.00011195469091885446,0,0,2187.0,2135.4545454545455,186.6103896103896,236,3.064935064935065,59424,1493,23,23,77,73.0,0.03453169347209082,3.064935064935065,791.1298701298701,46,0.5974025974025974,0.0,0.0,0,21
2015Q1,32,0.4266666666666667,3.826009121563504e-05,0,0,2272.0,2219.5066666666667,160.21333333333334,185,2.466666666666667,29840,31569,25,25,75,85.0,0.038866026520347506,2.466666666666667,818.7866666666666,50,0.6666666666666666,0.0,0.0,0,22
2015Q2,152,0.8994082840236687,7.157538949592819e-05,0,0,2639.0,2509.9704142011833,218.9940828402367,502,2.970414201183432,60691,59533,41,41,169,367.0,0.16153169014084506,2.970414201183432,711.3846153846154,82,0.48520710059171596,0.0,0.0,0,23
2015Q3,272,1.1574468085106382,7.959700523714881e-05,0,0,3020.0,2918.0425531914893,315.0127659574468,729,3.1021276595744682,142413,87679,78,77,235,381.0,0.14437286851079956,3.1021276595744682,979.1148936170213,155,0.6595744680851063,0.0,0.0,0,24
2015Q4,178,1.2624113475177305,8.312413213235048e-05,0,0,3117.0,3079.744680851064,319.5744680851064,482,3.4184397163120566,69369,38892,43,44,141,97.0,0.032119205298013244,3.4184397163120566,767.8085106382979,87,0.6170212765957447,0.0,0.0,0,25
2016Q1,78,1.5,9.592791776515553e-05,0,0,3117.0,3115.730769230769,310.4423076923077,158,3.0384615384615383,14697,10524,16,15,52,0.0,0.0,3.0384615384615383,485.0192307692308,31,0.5961538461538461,0.0,0.0,0,26
2016Q2,44,0.6875,4.104673165135996e-05,0,0,3444.0,3242.359375,227.109375,222,3.46875,17431,3622,15,15,64,327.0,0.10490856592877768,3.46875,328.953125,30,0.46875,0.0,0.0,0,27
2016Q3,52,0.8253968253968254,4.395604219244372e-05,0,0,3753.0,3631.285714285714,244.14285714285714,176,2.7936507936507935,14063,2801,22,22,63,309.0,0.0897212543554007,2.7936507936507935,267.6825396825397,44,0.6984126984126984,0.0,0.0,0,28
2016Q4,151,2.0405405405405403,0.00010545376941795821,0,0,3920.0,3825.2567567567567,271.8378378378378,287,3.8783783783783785,141540,17629,26,27,74,167.0,0.04449773514521716,3.8783783783783785,2150.9324324324325,53,0.7162162162162162,0.0,0.0,0,29
2017Q1,62,0.6326530612244898,2.957911889869845e-05,0,0,4323.0,4211.918367346939,256.7040816326531,299,3.0510204081632653,46892,20267,36,38,98,403.0,0.10280612244897959,3.0510204081632653,685.295918367347,74,0.7551020408163265,0.0,0.0,0,30
2017Q2,238,0.6979472140762464,3.086416196398359e-05,0,0,4665.0,4408.029325513196,242.14369501466277,1420,4.164222873900293,74650,21417,116,112,341,342.0,0.0791117279666898,4.164222873900293,281.72140762463346,228,0.6686217008797654,0.0,0.0,0,31
2017Q3,101,1.9803921568627452,7.59908168413218e-05,2,0,5177.0,4875.941176470588,642.7450980392157,678,13.294117647058824,59883,20539,38,38,51,512.0,0.1097534833869239,13.294117647058824,1576.9019607843138,76,1.4901960784313726,0.0392156862745098,0.0,2,32
2017Q4,112,1.2873563218390804,4.258090020358505e-05,0,0,5586.0,5346.310344827586,400.6896551724138,665,7.64367816091954,405116,21778,66,66,87,409.0,0.0790032837550705,7.64367816091954,4906.827586206897,132,1.5172413793103448,0.0,0.0,0,33
2018Q1,25,0.35714285714285715,8.206491345591117e-06,0,0,6845.0,6469.257142857143,298.95714285714286,306,4.371428571428571,170026,138206,62,62,70,1259.0,0.22538489079842464,4.371428571428571,4403.314285714286,124,1.7714285714285714,0.0,0.0,0,34
2018Q2,19,0.7916666666666666,1.648550635889541e-05,0,0,6905.0,6892.583333333333,273.8333333333333,60,2.5,16225,10501,23,23,24,60.0,0.008765522279035792,2.5,1113.5833333333333,46,1.9166666666666667,0.0,0.0,0,35
2018Q3,24,0.6486486486486487,1.3097316179188154e-05,0,0,7059.0,6979.864864864865,531.081081081081,227,6.135135135135135,129632,40059,23,23,37,154.0,0.022302679217958,6.135135135135135,4586.243243243243,46,1.2432432432432432,0.0,0.0,0,36
2018Q4,64,2.6666666666666665,5.2502845568908376e-05,0,0,7007.0,7025.166666666667,719.5,201,8.375,3920,3355,13,13,24,-52.0,-0.007366482504604052,8.375,303.125,26,1.0833333333333333,0.0,0.0,0,37
2019Q1,30,0.46153846153846156,8.785629183897225e-06,0,0,7384.0,7219.569230769231,369.2923076923077,322,4.953846153846154,149758,70976,42,41,65,377.0,0.05380333951762523,4.953846153846154,3395.9076923076923,83,1.2769230769230768,0.0,0.0,0,38
2019Q2,0,0.0,0.0,0,0,7447.0,7414.814814814815,315.44444444444446,96,3.5555555555555554,16492,35305,14,14,27,63.0,0.00853196099674973,3.5555555555555554,1918.4074074074074,28,1.037037037037037,0.0,0.0,0,39
2019Q3,12,0.48,8.804471855836887e-06,0,0,7550.0,7526.16,405.6,152,6.08,5648,1396,13,13,25,103.0,0.013831072915267893,6.08,281.76,26,1.04,0.0,0.0,0,40
2019Q4,10,0.625,1.0891745648675772e-05,2,0,7616.0,7607.375,447.5,180,11.25,347019,376495,10,10,16,66.0,0.008741721854304637,11.25,45219.625,20,1.25,0.125,0.0,2,41
2020Q1,18,0.8181818181818182,1.4131597670119652e-05,0,0,7702.0,7676.409090909091,178.86363636363637,44,2.0,1175,38338,13,13,22,86.0,0.011292016806722689,2.0,1796.0454545454545,26,1.1818181818181819,0.0,0.0,0,42
2020Q2,35,1.9444444444444444,3.354632106551749e-05,0,0,7704.0,7694.5,362.44444444444446,73,4.055555555555555,502,973,11,10,18,2.0,0.00025967281225655674,4.055555555555555,81.94444444444444,21,1.1666666666666667,0.0,0.0,0,43
2020Q3,80,1.0256410256410255,1.9861628203303692e-05,1,0,6627.0,6627.9358974358975,471.15384615384613,427,5.4743589743589745,112834,39915,33,33,78,-1077.0,-0.139797507788162,5.4743589743589745,1958.320512820513,66,0.8461538461538461,0.01282051282051282,0.0,1,44
2020Q4,74,1.510204081632653,3.105985282535588e-05,0,2,6277.0,6303.775510204082,483.0816326530612,443,9.040816326530612,346129,228946,16,16,49,-350.0,-0.052814244756299984,9.040816326530612,11736.224489795919,32,0.6530612244897959,0.0,0.04081632653061224,-2,45
2021Q1,61,1.4523809523809523,3.390688924103462e-05,0,0,5674.0,5695.928571428572,465.04761904761904,480,11.428571428571429,73558,515387,18,17,42,-603.0,-0.09606499920344114,11.428571428571429,14022.5,35,0.8333333333333334,0.0,0.0,0,46
2021Q2,24,0.36923076923076925,8.615575826112242e-06,0,0,5749.0,5694.830769230769,153.87692307692308,133,2.046153846153846,2666,1619,17,17,65,75.0,0.013218188227000353,2.046153846153846,65.92307692307692,34,0.5230769230769231,0.0,0.0,0,47
